# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.0
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-03-2024
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonName. Operon name containing the transcription unit
## (4) tuGenes. Name of the gene(s) contained in the transcription unit
## (5) pmName. Promoter Name
## (6) tuEvidence. Evidence that supports the existence of the transcription unit
## (7) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (8) confidenceLevel. TU confidence level (Values: Confirmed, Strong, Weak)
## (9) pmids associated to object
1)tuId	2)tuName	3)operonName	4)tuGenes	5)pmName	6)tuEvidence	7)addEvidence	8)confidenceLevel   9)pmids 
RDBECOLITUC00080	yjtD	yjtD	yjtD;		[COMP-AINF:W]		W	 
RDBECOLITUC00081	yaaX	yaaX	yaaX;		[COMP-AINF:W]		W	23421615 
RDBECOLITUC00082	yaaA	yaaA	yaaA;		[COMP-AINF:W]		W	21378183 
RDBECOLITUC00083	yaaJ	yaaJ	yaaJ;		[COMP-AINF:W]		W	 
RDBECOLITUC00084	mog	mog	mog;		[COMP-AINF:W]		W	 
RDBECOLITUC00085	satP	satP	satP;		[COMP-AINF:W]		W	 
RDBECOLITUC00086	yaaW	yaaW	yaaW;		[COMP-AINF:W]		W	 
RDBECOLITUC00087	insL1	insL1	insL1;		[COMP-AINF:W]		W	34475859 
RDBECOLITUC00088	mokC-hokC	mokC-hokC	mokC;hokC;		[COMP-AINF:W]		W	34475859 
RDBECOLITUC00089	sokC	sokC	sokC;	sokCp	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]		S	15718303 
RDBECOLITUC00090	insA1B1AB1	insA1B1AB1	insA1;insB1;insAB1;		[COMP-AINF:W]		W	 
RDBECOLITUC00091	rihC	rihC	rihC;		[COMP-AINF:W]		W	 
RDBECOLITUC00092	yaaU	yaaU	yaaU;	yaaUp	[COMP-AINF:W]		W	 
RDBECOLITUC00093	kefFC	kefFC	kefC;kefF;		[COMP-AINF:W]		W	 
RDBECOLITUC00094	djlA	djlA	djlA;		[COMP-AINF:W]		W	 
RDBECOLITUC00095	yabPQ	yabPQ	yabQ;yabP;		[COMP-AINF:W]		W	 
