# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 13.0
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-03-2024
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon id containing the transcription uni 
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenesIds. Ids of the gene(s) contained in the transcription unit
## (6) tuGenesNames. Names of the gene(s) contained in the transcription unit
## (7) promoterId. Promoter Id
## (8) promoterName. Promoter Name
## (9) sigmaFactor. Sigma Factor associated to 
##(10) tfsIds. transcription Factors ids that regulates the transcription Unit
##(11) tfsNames. transcription Factors names that regulates the transcription Unit
##
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)sigmaFactor	10)tfsIds	11)tfsNames 
RDBECOLITUC00080	yjtD	RDBECOLIOPC02534	yjtD	RDBECOLIGNC02181	yjtD;					 
RDBECOLITUC00081	yaaX	RDBECOLIOPC01342	yaaX	RDBECOLIGNC02977	yaaX;					 
RDBECOLITUC00082	yaaA	RDBECOLIOPC00450	yaaA	RDBECOLIGNC00009	yaaA;					 
RDBECOLITUC00083	yaaJ	RDBECOLIOPC02096	yaaJ	RDBECOLIGNC01507	yaaJ;					 
RDBECOLITUC00084	mog	RDBECOLIOPC01056	mog	RDBECOLIGNC01466	mog;					 
RDBECOLITUC00085	satP	RDBECOLIOPC00177	satP	RDBECOLIGNC01467	satP;					 
RDBECOLITUC00086	yaaW	RDBECOLIOPC01733	yaaW	RDBECOLIGNC02978	yaaW;					 
RDBECOLITUC00087	insL1	RDBECOLIOPC00770	insL1	RDBECOLIGNC02979	insL1;					 
RDBECOLITUC00088	mokC-hokC	RDBECOLIOPC02452	mokC-hokC	RDBECOLIGNC00366,RDBECOLIGNC02930	mokC;hokC;					 
RDBECOLITUC00089	sokC	RDBECOLIOPC01382	sokC	RDBECOLIGNC02931	sokC;	RDBECOLIPMC02611	sokCp	sigma70		 
RDBECOLITUC00090	insA1B1AB1	RDBECOLIOPC00490	insA1B1AB1	RDBECOLIGNC02982,RDBECOLIGNC02981,RDBECOLIGNC02621	insA1;insB1;insAB1;					 
RDBECOLITUC00091	rihC	RDBECOLIOPC02029	rihC	RDBECOLIGNC01069	rihC;					 
RDBECOLITUC00092	yaaU	RDBECOLIOPC01014	yaaU	RDBECOLIGNC01518	yaaU;	RDBECOLIPMC00325	yaaUp	sigma54		 
RDBECOLITUC00093	kefFC	RDBECOLIOPC00218	kefFC	RDBECOLIGNC00513,RDBECOLIGNC01519	kefC;kefF;					 
RDBECOLITUC00094	djlA	RDBECOLIOPC01669	djlA	RDBECOLIGNC01521	djlA;					 
